Fecha,Franja más cara,Franja más barata,00h - 01h:,01h - 02h:,02h - 03h:,03h - 04h:,04h - 05h:,05h - 06h:,06h - 07h:,07h - 08h:,08h - 09h:,09h - 10h:,10h - 11h:,11h - 12h:,12h - 13h:,13h - 14h:,14h - 15h:,15h - 16h:,16h - 17h:,17h - 18h:,18h - 19h:,19h - 20h:,20h - 21h:,21h - 22h:,22h - 23h:,23h - 24h:
04 de 03 de 2021,08h - 09h,03h - 04h,0.12064,0.11365,0.11172,0.11064,0.11233,0.11549,0.1251,0.12977,0.13192,0.12931,0.12315,0.11906,0.11705,0.11598,0.11521,0.11569,0.11528,0.11853,0.12566,0.13159,0.12716,0.12769,0.12389,0.12069
05 de 03 de 2021,08h - 09h,15h - 16h,0.1162,0.11185,0.11043,0.10963,0.1122,0.11523,0.12541,0.1306,0.13495,0.12713,0.11922,0.11616,0.11399,0.11051,0.11027,0.10509,0.11032,0.11456,0.12051,0.13086,0.12316,0.11945,0.11925,0.11382
06 de 03 de 2021,19h - 20h,13h - 14h,0.11586,0.11027,0.10869,0.1082,0.10777,0.10809,0.10874,0.11175,0.11484,0.11145,0.10432,0.10262,0.10187,0.10166,0.10205,0.10237,0.10311,0.11301,0.12002,0.12376,0.11917,0.11892,0.11739,0.11179
07 de 03 de 2021,19h - 20h,15h - 16h,0.11399,0.11216,0.11265,0.11316,0.11173,0.1138,0.11515,0.11407,0.11479,0.11425,0.11161,0.1094,0.10814,0.10886,0.10679,0.10358,0.10608,0.113,0.12148,0.12836,0.1228,0.12079,0.1213,0.11761
08 de 03 de 2021,20h - 21h,06h - 07h,0.11667,0.11547,0.11391,0.11235,0.11457,0.11997,0.1094,0.12565,0.12522,0.12617,0.123,0.12126,0.1194,0.11818,0.11674,0.11836,0.12145,0.12058,0.12103,0.12661,0.13239,0.12446,0.12401,0.12111
09 de 03 de 2021,19h - 20h,03h - 04h,0.12262,0.11589,0.11249,0.11168,0.11244,0.1177,0.12155,0.12693,0.12999,0.12855,0.12648,0.12413,0.12156,0.11961,0.11976,0.12034,0.12,0.12292,0.1278,0.14249,0.13638,0.12786,0.12557,0.12426
10 de 03 de 2021,07h - 08h,15h - 16h,0.12408,0.12244,0.11836,0.1177,0.11743,0.12193,0.12766,0.13858,0.13476,0.12658,0.12227,0.11835,0.11551,0.1131,0.11286,0.10971,0.11021,0.11626,0.12081,0.12712,0.12856,0.12609,0.11999,0.1175
11 de 03 de 2021,19h - 20h,04h - 05h,0.10632,0.10497,0.09837,0.09252,0.07995,0.08457,0.09814,0.11458,0.11759,0.11694,0.10801,0.1033,0.1022,0.09916,0.09676,0.09293,0.09432,0.10031,0.11158,0.12171,0.11991,0.11698,0.11692,0.11078
12 de 03 de 2021,08h - 09h,14h - 15h,0.09585,0.09494,0.09444,0.09092,0.08951,0.09406,0.11003,0.11776,0.12289,0.11493,0.10659,0.09764,0.09537,0.09021,0.08888,0.09188,0.0908,0.10273,0.11333,0.11884,0.11619,0.11586,0.11682,0.11152
13 de 03 de 2021,19h - 20h,16h - 17h,0.10817,0.09466,0.09297,0.0912,0.09334,0.0926,0.0935,0.09307,0.0965,0.08955,0.08776,0.08336,0.08337,0.07936,0.07895,0.06344,0.06213,0.07707,0.09276,0.10981,0.10973,0.10915,0.09991,0.09925
